transaction_id,purchase_ts,client_id_canonical,session_id,revenue,user_email,items_json,first_click_session_id,last_click_session_id,first_click_channel,last_click_channel,last_non_direct_session_id,last_non_direct_channel
ORD-20250301-368,2025-03-01 15:40:37.769000+00:00,1739840232-Qa5gyk_Kwh5w,1739840232-Qa5gyk_Kwh5w:2:20250301T150607,179.0,eb8ab9dd92167e68ae49b2e52858b5b0eaf2c8000404d04a70de326fa3bf0f33,"[{""item_id"": ""K-SH01-GRY-3"", ""item_name"": ""Puffy Signature Sheets Set"", ""item_price"": 179, ""item_variant"": ""Polar Gray / King  -  (76\""W x 80\""L)"", ""quantity"": 1}]",1739840232-Qa5gyk_Kwh5w:1:20250228T010856,1739840232-Qa5gyk_Kwh5w:2:20250301T150607,paid_search,unknown_paid,1739840232-Qa5gyk_Kwh5w:2:20250301T150607,unknown_paid
ORD-20250307-344,2025-03-07 22:57:58.744000+00:00,1739840232-Qa5gyk_Kwh5w,1739840232-Qa5gyk_Kwh5w:4:20250307T224357,262.0,eb8ab9dd92167e68ae49b2e52858b5b0eaf2c8000404d04a70de326fa3bf0f33,"[{""item_id"": ""K-TOPPR-F-22"", ""item_name"": ""Puffy Deluxe Mattress Topper"", ""item_price"": null, ""item_variant"": ""Firm / King  -  (76\""W x 80\""L x 2.5\""H)"", ""quantity"": 1}]",1739840232-Qa5gyk_Kwh5w:2:20250301T150607,1739840232-Qa5gyk_Kwh5w:4:20250307T224357,unknown_paid,direct,1739840232-Qa5gyk_Kwh5w:3:20250302T142229,unknown_paid
ORD-20250227-363,2025-02-27 17:42:11.044000+00:00,1739878658-VmIawT4Slalv,1739878658-VmIawT4Slalv:6:20250227T174014,409.0,e3b07b83db6f5d0a429f8ee93f9cbd9d9883a08b037b1f39098a30265100d87b,"[{""item_id"": ""s-mtplw-w-21"", ""item_name"": ""Puffy Signature Pillow"", ""item_price"": 102, ""item_variant"": ""Standard"", ""quantity"": 1}, {""item_id"": ""qprot1"", ""item_name"": ""Puffy Signature Mattress Protector"", ""item_price"": 128, ""item_variant"": ""Queen  -  (60\""W x 80\""L)"", ""quantity"": 1}, {""item_id"": ""Q-SH01-GRY-3"", ""item_name"": ""Puffy Signature Sheets Set"", ""item_price"": 179, ""item_variant"": ""Polar Gray / Queen  -  (60\""W x 80\""L)"", ""quantity"": 1}]",1739878658-VmIawT4Slalv:1:20250226T073226,1739878658-VmIawT4Slalv:6:20250227T174014,paid_search,organic_search,1739878658-VmIawT4Slalv:6:20250227T174014,organic_search
ORD-20250227-495,2025-02-27 17:44:23.803000+00:00,1739878658-VmIawT4Slalv,1739878658-VmIawT4Slalv:6:20250227T174014,102.0,e3b07b83db6f5d0a429f8ee93f9cbd9d9883a08b037b1f39098a30265100d87b,"[{""item_id"": ""s-mtplw-w-21"", ""item_name"": ""Puffy Signature Pillow"", ""item_price"": 102, ""item_variant"": ""Standard"", ""quantity"": 1}]",1739878658-VmIawT4Slalv:1:20250226T073226,1739878658-VmIawT4Slalv:6:20250227T174014,paid_search,organic_search,1739878658-VmIawT4Slalv:6:20250227T174014,organic_search
ORD-20250224-404,2025-02-24 19:13:25.980000+00:00,1739902113-HUVj8CdYF8It,1739902113-HUVj8CdYF8It:1:20250224T190433,1249.0,2a9f41f8d7b2c658a9b30ea8daf373ab4924d82a34adb80e1008c13970a55392,"[{""item_id"": ""12Q-PUFFHB-24"", ""item_name"": ""Puffy Lux Mattress"", ""item_price"": 1249, ""item_variant"": ""Hybrid / Queen  -  (60\""W x 80\""L x 12\""H)"", ""quantity"": 1}]",1739902113-HUVj8CdYF8It:1:20250224T190433,1739902113-HUVj8CdYF8It:1:20250224T190433,direct,direct,,
ORD-20250224-346,2025-02-24 23:47:15.549000+00:00,1739925043-1AUsr0ad1DEH,1739925043-1AUsr0ad1DEH:1:20250224T234021,3149.0,48ee0f4a74ebfe0e148e900d16d7d576e239db56235611e418c3f4a42e06c0be,"[{""item_id"": ""16Q-PUFFHB-24"", ""item_name"": ""Puffy Monarch Mattress"", ""item_price"": 3149, ""item_variant"": ""Queen  -  (60\""W x 80\""L x 16\""H) / Hybrid"", ""quantity"": 1}]",1739925043-1AUsr0ad1DEH:1:20250224T234021,1739925043-1AUsr0ad1DEH:1:20250224T234021,direct,direct,,
ORD-20250304-558,2025-03-04 03:14:47.935000+00:00,1739975044-l6LWN5WR98MB,1739975044-l6LWN5WR98MB:1:20250304T031447,2249.0,9fc58e5ead6243325a3638f9f8b2c6717b5332b915e997f8b87ed5e709c7cc1d,"[{""item_id"": ""14Q-PUFFHB-24"", ""item_name"": ""Puffy Royal Mattress"", ""item_price"": 2249, ""item_variant"": ""Queen  -  (60\""W x 80\""L x 14\""H) / Hybrid"", ""quantity"": 1}]",1739975044-l6LWN5WR98MB:1:20250304T031447,1739975044-l6LWN5WR98MB:1:20250304T031447,direct,direct,,
ORD-20250303-472,2025-03-03 19:08:18.292000+00:00,1739981017-J2pqbRgl8ICL,1739981017-J2pqbRgl8ICL:1:20250303T190818,949.0,e308a5e07cebbe3aac8d556757c2d6400cdc54401df0482e55a0665901c65460,"[{""item_id"": ""10Q-PUFF-24"", ""item_name"": ""Puffy Cloud Mattress"", ""item_price"": 949, ""item_variant"": ""Queen  -  (60\""W x 80\""L x 10\""H)"", ""quantity"": 1}]",1739981017-J2pqbRgl8ICL:1:20250303T190818,1739981017-J2pqbRgl8ICL:1:20250303T190818,direct,direct,,
ORD-20250227-404,2025-02-27 06:00:17.359000+00:00,1739985361-5ocesE28hJ3Z,1739985361-5ocesE28hJ3Z:1:20250227T055904,128.0,3b6c0b266eda38ef4a6feb084c0d7e789cdbf5718427464446241fa18fd704aa,"[{""item_id"": ""qprot1"", ""item_name"": ""Puffy Signature Mattress Protector"", ""item_price"": 128, ""item_variant"": ""Queen  -  (60\""W x 80\""L)"", ""quantity"": 1}]",1739985361-5ocesE28hJ3Z:1:20250227T055904,1739985361-5ocesE28hJ3Z:1:20250227T055904,unknown_paid,unknown_paid,1739985361-5ocesE28hJ3Z:1:20250227T055904,unknown_paid
ORD-20250224-298,2025-02-24 20:36:50.936000+00:00,1740153262-W9ba7W8Fyqbj,1740153262-W9ba7W8Fyqbj:1:20250224T201619,262.0,bd9e578b9b4ae429b8f18c92b350df63a74c32c9fbee7c3042b1258a82af74cb,"[{""item_id"": ""K-TOPPR-S-3"", ""item_name"": ""Puffy Deluxe Mattress Topper"", ""item_price"": 262, ""item_variant"": ""Soft / King  -  (76\""W x 80\""L x 2.5\""H)"", ""quantity"": 1}]",1740153262-W9ba7W8Fyqbj:1:20250224T201619,1740153262-W9ba7W8Fyqbj:1:20250224T201619,unknown_paid,unknown_paid,1740153262-W9ba7W8Fyqbj:1:20250224T201619,unknown_paid
